epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,10604.5,0.54656,0.36447,1.17612,0.99876,1,0.995,0.87093,0.64958,0.30222,1.09094,0.0003994,0.0003994,0.0003994
93,10700.9,0.6177,0.39857,1.22817,0.99961,1,0.995,0.86911,0.608,0.27459,1.06386,0.0003928,0.0003928,0.0003928
94,10798.9,0.56472,0.3666,1.16618,0.99902,1,0.995,0.86922,0.6391,0.30694,1.18254,0.0003862,0.0003862,0.0003862
95,10901,0.54471,0.35261,1.15984,0.99354,1,0.995,0.86373,0.67186,0.31517,1.20734,0.0003796,0.0003796,0.0003796
96,11007.5,0.58724,0.38102,1.19105,1,0.98962,0.995,0.85279,0.68943,0.32905,1.20712,0.000373,0.000373,0.000373
97,11100.3,0.55222,0.38012,1.16709,1,0.9955,0.995,0.87774,0.64287,0.32541,1.1727,0.0003664,0.0003664,0.0003664
98,11194,0.6041,0.3934,1.21466,0.99627,0.99,0.99471,0.88254,0.64471,0.3139,1.1773,0.0003598,0.0003598,0.0003598
99,11291,0.56675,0.37109,1.17667,1,0.99494,0.995,0.85296,0.68422,0.30772,1.22747,0.0003532,0.0003532,0.0003532
100,11391.9,0.58423,0.37127,1.18474,0.99725,1,0.995,0.87083,0.68386,0.32338,1.29095,0.0003466,0.0003466,0.0003466
101,11492.2,0.54532,0.35202,1.18561,0.99855,1,0.995,0.86424,0.68358,0.31274,1.26399,0.00034,0.00034,0.00034
102,11593.1,0.54706,0.36049,1.18547,0.99929,0.98,0.99442,0.85926,0.69022,0.31873,1.20523,0.0003334,0.0003334,0.0003334
103,11684.1,0.53327,0.34971,1.18037,1,0.97189,0.99442,0.84741,0.69606,0.3202,1.19778,0.0003268,0.0003268,0.0003268
104,11770.5,0.58523,0.37692,1.19938,0.96948,1,0.99422,0.85498,0.66244,0.29858,1.19235,0.0003202,0.0003202,0.0003202
105,11859.2,0.55147,0.36767,1.1733,0.9899,0.98,0.9947,0.87608,0.63168,0.28627,1.1533,0.0003136,0.0003136,0.0003136
106,11956.2,0.54325,0.35273,1.14199,0.99717,1,0.995,0.87504,0.65091,0.28819,1.15938,0.000307,0.000307,0.000307
107,12061.4,0.53752,0.34273,1.14796,0.99599,1,0.995,0.87075,0.66301,0.30885,1.1699,0.0003004,0.0003004,0.0003004
108,12166.5,0.57255,0.37731,1.19258,0.99835,1,0.995,0.87117,0.64844,0.31367,1.15511,0.0002938,0.0002938,0.0002938
109,12269.8,0.52471,0.34305,1.15536,0.99883,1,0.995,0.86498,0.65861,0.33332,1.1636,0.0002872,0.0002872,0.0002872
110,12373.8,0.52358,0.3451,1.17293,0.99499,1,0.995,0.86744,0.65058,0.33622,1.21209,0.0002806,0.0002806,0.0002806
111,12477.5,0.53301,0.35418,1.15964,1,0.9997,0.995,0.86771,0.6342,0.32293,1.18858,0.000274,0.000274,0.000274
112,12580.8,0.53225,0.34626,1.15213,0.99807,1,0.995,0.86726,0.62219,0.29641,1.11307,0.0002674,0.0002674,0.0002674
113,12684.2,0.55344,0.34381,1.16038,0.9984,1,0.995,0.85547,0.64135,0.29709,1.11626,0.0002608,0.0002608,0.0002608
114,12788,0.51076,0.34662,1.13872,0.99886,1,0.995,0.86143,0.65076,0.29862,1.157,0.0002542,0.0002542,0.0002542
115,12891.2,0.49803,0.32782,1.12734,0.99873,1,0.995,0.85278,0.67385,0.3251,1.21801,0.0002476,0.0002476,0.0002476
116,12995.8,0.51758,0.3328,1.14361,0.99872,1,0.995,0.84562,0.68631,0.34493,1.22666,0.000241,0.000241,0.000241
117,13108.1,0.4969,0.31478,1.12475,0.99881,1,0.995,0.85268,0.68251,0.34085,1.18802,0.0002344,0.0002344,0.0002344
118,13215.4,0.54842,0.3345,1.13797,0.99874,1,0.995,0.86076,0.64831,0.32626,1.15216,0.0002278,0.0002278,0.0002278
119,13320.1,0.5451,0.35037,1.16718,0.99859,1,0.995,0.86798,0.63507,0.29831,1.13616,0.0002212,0.0002212,0.0002212
120,13423.8,0.53372,0.35847,1.16682,0.99871,1,0.995,0.86818,0.63191,0.30419,1.1085,0.0002146,0.0002146,0.0002146
121,13528.5,0.51791,0.33093,1.15019,0.99883,1,0.995,0.87387,0.61719,0.30484,1.11068,0.000208,0.000208,0.000208
122,13633.8,0.53028,0.3458,1.15729,0.99789,1,0.995,0.86804,0.61427,0.30598,1.12808,0.0002014,0.0002014,0.0002014
123,13738.5,0.52076,0.32301,1.14205,0.99605,1,0.995,0.87122,0.61716,0.30951,1.14321,0.0001948,0.0001948,0.0001948
124,13842.5,0.51833,0.31939,1.13273,0.98848,1,0.995,0.87676,0.61822,0.30498,1.13845,0.0001882,0.0001882,0.0001882
125,13946.8,0.52219,0.31834,1.15395,0.9881,1,0.995,0.87783,0.62309,0.30716,1.15231,0.0001816,0.0001816,0.0001816
126,14053.4,0.52508,0.33662,1.16446,0.98057,1,0.995,0.87516,0.61576,0.30948,1.16053,0.000175,0.000175,0.000175
127,14157.2,0.53663,0.36287,1.16597,0.99284,1,0.995,0.87207,0.60756,0.29752,1.14135,0.0001684,0.0001684,0.0001684
128,14260.7,0.50434,0.33086,1.13272,0.99574,1,0.995,0.87038,0.61572,0.30652,1.1496,0.0001618,0.0001618,0.0001618
